股票代码,股票名称,当前价,涨跌幅,市值,市盈率
SYLD,股东总收益美股ETF-Cambria,38.1,0.37,1.423613E8,
RTN,雷神,228.18,0.37,6.698969011E10,31.82
RSPP,"RSP Permian, Inc.",49.12,0.37,7.8022248E9,32.85
RPM,RPM International Inc.,49.13,0.37,6.5460635E9,17.36
RPAI,"Retail Properties of America, Inc. Class A",10.96,0.37,2.3968892E9,10.6
PLCY,EventShares U.S. Policy Alpha ETF,21.55,0.37,2147000.0,
NUMG,NuShares ESG Mid-Cap Growth ETF,29.82,0.37,4.1587E7,
MSFT,微软,95.35,0.37,7.35666527015E11,63.57
LUV,西南航空,54.97,0.37,3.18766406E10,9.46
LTSL,Ladenburg Thalmann Financial Services Inc 6.50% Senior Notes due 2027,24.55,0.37,7.0934E7,
JTA,Nuveen Tax-Advantaged Total Return Strategy Fund Common Share of Beneficial Interest,13.41,0.37,1.849444E8,16.1
JKI,iShares Morningstar Mid-Cap ETF,158.85,0.37,4.194182E8,11.51
IRS,IRSA Inversiones Y Representaciones S.A.,24.09,0.37,1.3888235E9,126.32
FANH,泛华金控,27.04,0.37,1.6633967E9,449.0
EXTN,Exterran Corporation,29.6,0.37,1.0545894E9,
EQIX,易昆尼克斯,407.58,0.37,3.21713509E10,135.35
DRV,美国房地产3X空-Direxion,13.73,0.37,1.58468E7,
CTDD,Qwest Corporation 6.75% Notes due 2057,21.96,0.37,5.77632E8,
CPLA,卡佩拉教育,93.8,0.37,1.0889209E9,47.68
BWFG,"Bankwell Financial Group, Inc.",32.5,0.37,2.52998E8,18.19
VNTR,Venator Materials PLC Ordinary Shares,19.32,0.36,2.0481988E9,15.28
VET,Vermilion Energy Inc. Common (Canada),36.07,0.36,4.4002163E9,87.66
TDI,"Telephone and Data Systems, Inc. Sr Nt",24.89,0.36,1.15334E8,12.84
STAG-B,"Stag Industrial, Inc. Cum Pfd Ser B",25.03,0.36,6.9832E7,
SANM,新美亚电子,27.7,0.36,1.9663922E9,
RES,"RPC, Inc.",19.27,0.36,4.1419059E9,25.6
QSII,"Quality Systems, Inc.",14.11,0.36,8.958178E8,48.48
PSQ,做空纳指-ProShares,33.76,0.36,3.250465E8,
OTTW,"Ottawa Bancorp, Inc.",13.8,0.36,4.6963E7,55.0
NTRA,"Natera, Inc.",11.0,0.36,5.938497E8,
NTIC,Northern Technologies International Corporation,28.1,0.36,1.270474E8,25.0
MORT,按揭地产信托收入ETF-VanEck Vectors ,22.45,0.36,1.308645E8,
MMAC,"MMA Capital Management, LLC",27.8,0.36,1.56524E8,8.37
LQ,La Quinta,19.55,0.36,2.2858225E9,326.0
LNT,美国联合能源,41.69,0.36,9.6157551E9,20.87
KTWO,"K2M Group Holdings, Inc.",19.44,0.36,8.404217E8,
ITB,美国房产建设ETF-iShares,38.61,0.36,1.5638055E9,25.6
HEDJ,欧洲ETF汇率对冲-WisdomTree,64.68,0.36,6.3966625E9,
HD,家得宝,177.65,0.36,2.040424213E11,24.28
FLXS,弗莱克斯蒂尔工业,38.52,0.36,3.013759E8,11.67
FIX,"Comfort Systems USA, Inc.",41.9,0.36,1.5503627E9,28.4
FAZ,金融业3X做空-Direxion,11.06,0.36,1.403072E8,
EXLS,伊克赛尔服务控股,58.42,0.36,1.9906802E9,41.88
DJD,PowerShares Dow Jones Industrial Average Dividend Portfolio,33.63,0.36,1.6754E7,
CVLT,康沃系统,70.2,0.36,3.1437117E9,
CUBI-F,"Customers Bancorp, Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series F",25.21,0.36,8.5408E7,
CEQP,Crestwood Equity Partners LP,27.7,0.36,1.9659921E9,
BDCS,富国BDC指数ETN-ETRACS,19.49,0.36,8.12769E7,
WEX,WEX Inc.,162.22,0.35,6.9561217E9,43.45
VSEC,VSE技术服务,52.01,0.35,5.639677E8,14.4
UTX,联合技术,123.51,0.35,1.0165766611702E11,14.32
TNP-C,Tsakos Energy Navigation Ltd 8.875% Series C Preferred Cumulative Redeemable Perpetual Preferred Shares,25.63,0.35,5.1086E7,
RXL,医疗业2X做多-ProShares,86.0,0.35,8.99808E7,
REW,ProShares UltraShort Technology,14.42,0.35,3637000.0,
PLT,缤特力,65.2,0.35,2.1603106E9,249.88
